administratif|ad·mi·nis·tra·tif [a] secara administrasi
administrator|ad·mi·nis·tra·tor [n] 1. direktur perusahaan
admiral|ad·mi·ral [n Mil] jenjang kepangkatan pd angkatan laut
admisi|ad·mi·si [n] izin masuk
admitans|ad·mi·tans [n Fis] ukuran kemudahan arus bolak-balik (rangga) untuk mengalir dl suatu untai listrik (kebalikan dr impedans, biasanya dilambangkan dng huruf <i>y</i>)
adnan|ad·nan [Ar n] surga
adolesens|ado·le·sens [n] masa remaja
adon|adon, meng·a·don [v] 1. mencampur dan mengaduk (tepung yg diberi air, santan, susu, dsb atau semen dng pasir, kapur, dan air)
adopsi|adop·si [n] 1. pengangkatan anak orang lain sbg anak sendiri
adoptif|adop·tif [a Adm] mengenai penyerahan suatu urusan dilakukan dng undang-undang yg memuat syarat bahwa penyerahan hanya direalisasi thd daerah yg menyatakan sanggup untuk menerima urusan itu
adpertensi|ad·per·ten·si ? advertensi
adpis|ad·pis ? advis
adrenal|ad·re·nal [n Dok] kelenjar endokrin di atas ginjal yg menghasilkan hormon
adrenalin|ad·re·na·lin [n Dok] 1. hormon yg dihasilkan kelenjar adrenal
adrenergik|ad·re·ner·gik [a Dok] diaktifkan atau disekresi oleh adrenalin atau zat yg serupa
adres|ad·res [n] alamat (surat)
adsorben|ad·sor·ben [n Kim] zat yg sifatnya dapat menyerap zat lain sehingga menempel pd permukaannya tanpa reaksi kimia (digunakan untuk obat menceret atau penawar racun)
adsorpsi|ad·sorp·si [n Fis] proses melekatnya molekul atau ion pada permukaan zat padat
adstringen|ad·strin·gen ? astringen
adu|1:adu [v], ber·a·du [v] 1. berlanggaran
adu|2:adu, ber·a·du lihat radu
adu domba|adu dom·ba [v], meng·a·du dom·ba [v] menjadikan berselisih (bertikai) di antara pihak yg sepaham
adu untung|adu un·tung [v], meng·a·du un·tung [v] mencoba-coba berbuat, bekerja, dsb dng harapan beroleh untung (nasib)
aduh|aduh [p] kata seru untuk menyatakan rasa heran, sakit, dsb
aduhai|adu·hai 1 [p] kata seru untuk menyatakan rasa duka, kagum, dsb yg lebih mendalam dp aduh: --<i> biji mata Bunda, sampai hatikah Ananda meninggalkan Bunda
aduk|aduk [v], meng·a·duk [v] 1. mencampur dan mengacau
aduksi|aduk·si [n] 1. [Dok] gerakan mendekati sumbu memanjang
aduktor|aduk·tor [n Bio] otot yg berfungsi menggerakkan anggota tubuh ke arah tubuh
adun|adun [kl a] elok (krn berhias)
adveksi|ad·vek·si [n] gerakan massa udara secara horizontal yg mengakibatkan perubahan unsur fisik udara (spt suhu)
adven|ad·ven [n Kris] 1. kedatangan Kristus dl inkarnasinya (kedatangannya yg kedua)
adventisia|ad·ven·ti·sia [n Dok] lapisan terluar dinding pembuluh darah yg terdiri atas jaringan ikat
adventisius|ad·ven·ti·si·us [a] timbul atau terjadi secara sporadis atau di tempat yg tidak biasa
adverbia|ad·ver·bia [n Ling] kata yg memberikan keterangan pd verba, adjektiva, nomina predikatif, atau kalimat, msl <i>sangat, lebih, tidak
adverbial|ad·ver·bi·al [a Ling] 1. berfungsi sbg adverbia, tetapi tidak berinfleksi spt adverbia biasa
advertensi|ad·ver·ten·si [n] iklan dl media massa cetak atau elektronik, antara lain, untuk menawarkan barang
advertorial|ad·ver·to·ri·al [n] iklan yg berupa berita (bukan gambar atau poster)
advis|ad·vis [n] nasihat
advokasi|ad·vo·ka·si [n] pembelaan: <i>penggagas berdirinya lembaga bantuan hukum ini kembali menekuni dunia --
advokat|1:ad·vo·kat [n] ahli hukum yg berwenang sbg penasihat atau pembela perkara dl pengadilan
advokat|2:ad·vo·kat ? avokad
aeolus|ae·o·lus [n] dewa angin dl mitologi Yunani
aerasi|ae·ra·si [n] penambahan oksigen ke dl air dng memancarkan air atau melewatkan gelembung udara ke dl air
aerator|ae·ra·tor [n El] alat bertenaga listrik yg berfungsi menambahkan udara ke dl air (pd akuarium dsb) untuk meningkatkan kadar oksigen terlarut
aerob|ae·rob [n Bio] 1. sifat makhluk yg untuk hidup dan pertumbuhannya memerlukan oksigen bebas
aerobatik|ae·ro·ba·tik [n] ketangkasan atau kecakapan berakrobat di udara
aerobik|ae·ro·bik [a] bersifat memerlukan oksigen bagi kehidupan, gerak, dan pertumbuhannya
aerobika|ae·ro·bi·ka [n] sistem pemeliharaan jasmani yg dirancang untuk meningkatkan fungsi pernapasan dan peredaran darah melalui latihan, spt lari-lari, berjalan kaki, berenang yg menaikkan penggunaan oksigen
aerodinamik|ae·ro·di·na·mik [a] berkenaan dng aerodinamika
aerodinamika|ae·ro·di·na·mi·ka [n Fis] ilmu yg berhubungan dng gerakan udara, gas lain, atau kakas yg bekerja pd benda padat apabila bergerak melalui gas atau apabila gas yg mengalir mengenai atau mengelilingi benda padat
aerofisika|ae·ro·fi·si·ka [n Fis] fisika yg berhubungan dng perancangan, pembuatan, dan kerja peranti aerodinamik
aerofisiologi|ae·ro·fi·si·o·lo·gi [n] ilmu tt kesehatan tubuh ketika berada dl penerbangan atau dl ruang angkasa
aerofon|ae·ro·fon [n] alat musik yg menggunakan udara sbg sarana untuk menghasilkan bunyi (spt suling, trompet)
aerogram|ae·ro·gram [n] warkat pos khusus untuk pengiriman dng pos udara
aerolit|ae·ro·lit [n Geo] meteorit yg hampir seluruhnya berupa silika
aerologi|ae·ro·lo·gi [n] 1. meteorologi
aerometer|ae·ro·me·ter [n] alat untuk mengukur bobot atau kerapatan udara atau gas lain
aeromovel|ae·ro·mo·vel [n] kereta api yg dijalankan dng tenaga magnet di bagian bawahnya
aeronautika|ae·ro·nau·ti·ka [n] ilmu penerbangan
aeroplankton|ae·ro·plank·ton [n Bio] makhluk, plankton, zarah hidup spt spora, bakteri, dan serbuk sari yg melayang di udara dan dipencarkan oleh angin
aeroskop|ae·ro·skop [n] alat untuk menangkap debu, bakteri, spora, dsb dr udara untuk tujuan tes (percobaan, pengujian)
aerosol|ae·ro·sol [n Kim] sistem tersebarnya partikel halus zat padat atau cairan dl gas atau udara, msl asap dan kabut
aerostat|ae·ros·tat [n Fis] pesawat yg lebih ringan dp udara
aerostatika|ae·ros·ta·ti·ka [n Fis] ilmu tt gas dl keadaan seimbang mekanis
aeroterapia|ae·ro·te·ra·pia [n Bio] pengobatan dng udara dan dl alam terbuka
aestetika|aes·te·ti·ka ? estetika
aetiologi|ae·ti·o·lo·gi ? etiologi
afair|afa·ir [n] 1. hubungan asmara yg berlangsung singkat (tidak dilanjutkan dng perkawinan)
afal|af·al [n] kelakuan
afasia|afa·sia [n Dok] kehilangan sebagian atau seluruh kemampuan bicara krn penyakit, cacat, atau cedera pd otak
afdal|af·dal [a] 1. lebih baik
afdeling|af·de·ling [Bld n] seksi
afdruk|af·druk [n cak] hasil mencetak film
afek|afek [n Dok] perubahan perasaan krn tanggapan dl kesadaran seseorang (terutama apabila tanggapan itu datangnya mendadak dan berlangsung tidak lama, spt marah)
afeksi|afek·si [n Psi] 1. rasa kasih sayang
afektif|afek·tif [a] 1. [Psi] berkenaan dng perasaan (spt takut, cinta)
aferesis|afe·re·sis [n Ling] penanggalan huruf awal atau suku awal kata (msl: <i>tirta marta </i>dr <i>tirta amarta, kan </i>dr<i> bukan </i>atau<i> akan</i>)
afiat|afi·at [a] sehat: <i>syukurlah engkau dl keadaan sehat dan --
afidavit|afi·da·vit [n Huk] pemberian keterangan tertulis di bawah sumpah
afiks|afiks [n Ling] bentuk terikat yg apabila ditambahkan pd kata dasar atau bentuk dasar akan mengubah makna gramatikal (spt prefiks, infiks, konfiks, atau sufiks)
afiksasi|afik·sa·si [n Ling] proses atau hasil penambahan afiks (prefiks, konfiks, sufiks) pd kata dasar
afiliasi|afi·li·a·si [n] 1. pertalian sbg anggota atau cabang
afinitas|afi·ni·tas [n] 1. ketertarikan atau simpati yg ditandai oleh persamaan kepentingan
afirmasi|afir·ma·si [n] 1. penetapan yg positif
afirmatif|afir·ma·tif [a] bersifat menguatkan atau mengesahkan
afkir|af·kir ? apkir
afonia|afo·nia [n Dok] kehilangan suara dan kemampuan untuk bicara
aforisme|afo·ris·me [n Sas] pernyataan yg padat dan ringkas tt sikap hidup atau kebenaran umum (spt peribahasa: <i>alah bisa krn biasa</i>)
